Frame,Contour ID 1,Contour ID 2,X,Y
1,12910,11401,36,47
1,12910,12907,36,47
1,12914,13434,72,214
1,12914,12912,72,214
1,12914,12744,69,213
1,12914,12745,69,213
1,12920,13359,79,28
1,12920,12918,79,28
1,12943,14895,155,159
1,12943,12942,155,159
1,12959,12956,62,103
1,12959,13336,62,103
1,12976,6854,137,202
1,12976,12974,137,202
1,12989,9956,205,94
1,12989,12987,205,94
1,13001,5137,54,130
1,13001,12999,54,130
1,13008,6778,42,165
1,13008,13007,42,165
1,492,12677,49,149
1,492,12678,49,149
1,492,12669,50,145
1,13014,15023,42,24
1,13014,13012,42,24
1,13014,12711,42,25
1,13014,12712,42,25
1,13019,17209,43,153
1,13019,13017,43,153
1,13027,13025,93,175
1,13027,13293,93,175
1,13027,12841,93,177
1,13027,12842,93,177
1,13036,4878,129,181
1,13036,13033,129,181
1,13036,12688,128,180
1,13036,12689,128,180
1,13039,10667,46,29
1,13039,13038,46,29
1,13043,8982,85,163
1,13043,13041,85,163
1,13043,12871,80,165
1,13043,12872,80,165
1,13067,10518,144,151
1,13067,13065,144,151
1,13076,13327,79,208
1,13076,13074,79,208
1,13081,17502,49,191
1,13081,13079,49,191
1,13081,12671,45,193
1,13091,15475,193,202
1,13091,13088,193,202
1,13192,5653,111,165
1,13192,13105,111,165
1,13192,12696,111,165
1,13192,12697,111,165
1,13211,6889,108,20
1,13211,13209,108,20
1,13239,5208,131,17
1,13239,5378,131,17
1,13239,13237,131,17
1,13249,11373,29,23
1,13249,13248,29,23
1,13264,5784,63,123
1,13264,13262,63,123
1,13264,12884,64,112
1,13264,12885,64,112
1,13269,9908,61,69
1,13269,10939,61,69
1,13269,13267,61,69
1,13269,13582,57,74
1,13269,13583,57,74
1,13287,11128,88,127
1,13287,13285,88,127
1,13291,1293,46,62
1,13291,13290,46,62
1,13291,12897,41,55
1,13291,12899,41,55
1,13296,10362,84,179
1,13296,13293,84,179
1,13300,10329,213,14
1,13300,13298,213,14
1,13313,13311,71,138
1,13313,13518,71,138
1,13313,13255,72,129
1,13313,13256,72,129
1,13327,7110,78,207
1,13327,13324,78,207
1,13327,13074,79,208
1,13335,5665,69,202
1,13335,13334,69,202
1,13335,13319,69,201
1,13335,13320,69,201
1,13342,10054,52,114
1,13342,13338,52,114
1,13346,11358,60,139
1,13346,13344,60,139
1,13346,12993,59,131
1,13346,12995,59,131
1,13359,5040,79,28
1,13359,13358,79,28
1,13359,12918,79,28
1,13361,11118,60,175
1,13361,13360,60,175
1,13361,12750,55,171
1,13361,12751,55,171
1,13371,8916,46,184
1,13371,13369,46,184
1,13383,13381,186,133
1,13383,13586,186,133
1,13389,17469,110,176
1,13389,13388,110,176
1,13395,5252,68,132
1,13395,13393,68,132
1,13395,13256,66,127
1,13395,13258,66,127
1,13401,9842,124,95
1,13401,13400,124,95
1,13401,14142,120,94
1,13401,14141,120,94
1,13405,13403,53,127
1,13405,13566,53,127
1,13405,12822,51,126
1,13405,12823,51,126
1,13415,4972,83,17
1,13415,13413,83,17
1,13426,7165,157,114
1,13426,13425,157,114
1,13426,13048,158,114
1,13426,13050,158,114
1,13432,10511,67,169
1,13432,13431,67,169
1,13434,5371,71,214
1,13434,13433,71,214
1,13434,12912,72,214
1,13454,10181,94,129
1,13454,13452,94,129
1,13454,13279,93,131
1,13454,13281,93,131
1,13461,17443,44,18
1,13461,13460,44,18
1,13478,2919,140,180
1,13478,13477,140,180
1,13484,3016,53,184
1,13484,13482,53,184
1,13490,5784,63,124
1,13490,13488,63,124
1,13490,13259,64,124
1,13490,13262,64,124
1,13516,10191,63,31
1,13516,13515,63,31
1,13516,12701,60,33
1,13516,12702,60,33
1,13528,13524,48,160
1,13528,13753,48,160
1,13538,17378,73,153
1,13538,13537,73,153
1,13545,11171,36,13
1,13545,13544,36,13
1,13550,1442,97,158
1,13550,13548,97,158
1,13550,13305,79,156
1,13550,13306,79,156
1,13550,14418,79,156
1,13560,6897,96,102
1,13560,13559,96,102
1,13563,13574,67,182
1,13563,13562,67,182
1,13563,12812,59,181
1,13563,12813,59,181
1,13565,17193,55,164
1,13565,5593,55,164
1,13565,13564,55,164
1,13568,6948,52,122
1,13568,13567,52,122
1,13571,3525,60,212
1,13571,13570,60,212
1,13574,8903,73,183
1,13574,13573,73,183
1,13574,13562,67,182
1,698,12787,75,86
1,698,12788,75,86
1,13580,10536,75,34
1,13580,13579,75,34
1,13580,13500,79,34
1,13580,13502,79,34
1,13585,13584,43,68
1,13585,15392,43,68
1,13592,8850,180,133
1,13592,13591,180,133
1,13595,8847,63,160
1,13595,13594,63,160
1,13600,15382,86,36
1,13600,13599,86,36
1,13600,13496,85,39
1,13600,13498,85,39
1,13608,13607,107,28
1,13608,14478,107,28
1,13612,5370,174,170
1,13612,5872,174,170
1,13612,13611,174,170
1,13614,5802,76,221
1,13614,13613,76,221
1,13621,14784,140,208
1,13621,13620,140,208
1,13621,12971,137,208
1,13621,12974,137,208
1,13627,11255,164,14
1,13627,13626,164,14
1,13634,10947,132,166
1,13634,13633,132,166
1,13636,9994,72,128
1,13636,13635,72,128
1,13642,6909,50,109
1,13642,13641,50,109
1,13653,14082,114,51
1,13653,13650,114,51
1,13663,13661,142,217
1,13663,14725,142,217
1,13663,12965,129,215
1,13663,12967,129,215
1,13670,11095,70,201
1,13670,13668,70,201
1,13670,13322,70,201
1,13670,13324,70,201
1,13684,11042,209,128
1,13684,13683,209,128
1,13700,9883,81,5
1,13700,13698,81,5
1,13704,9921,57,126
1,13704,13701,57,126
1,13714,5656,121,22
1,13714,13713,121,22
1,13719,5662,46,36
1,13719,13717,46,36
1,13719,12905,42,39
1,13719,12907,42,39
1,13736,11217,154,20
1,13736,13734,154,20
1,13736,15051,153,21
1,13736,15054,153,21
1,13742,1515,107,160
1,13742,13739,107,160
1,13742,12765,106,158
1,13742,12766,106,158
1,13750,11392,79,220
1,13750,13748,79,220
1,13755,1316,43,161
1,13755,13753,43,161
1,13762,6877,58,148
1,13762,10464,58,148
1,13762,13758,58,148
1,13770,10901,82,159
1,13770,13767,82,159
1,13770,13302,79,157
1,13770,13305,79,157
1,13775,4991,77,167
1,13775,13773,77,167
1,13790,5070,92,190
1,13790,5571,92,190
1,13790,13786,92,190
1,13801,13870,75,15
1,13801,13798,75,15
1,1215,12712,39,25
1,1215,12713,39,25
1,13821,6781,148,111
1,13821,13818,148,111
1,13821,17021,150,113
1,13821,13055,150,113
1,13826,5658,112,163
1,13826,13824,112,163
1,13826,13103,112,164
1,13826,13105,112,164
1,13834,6985,68,151
1,13834,13833,68,151
1,13844,5905,159,112
1,13844,11191,159,112
1,13844,13842,159,112
1,13844,13045,158,112
1,13844,13048,158,112
1,13848,10730,63,170
1,13848,13847,63,170
1,13848,12724,63,169
1,13848,12725,63,169
1,13865,10822,199,99
1,13865,13863,199,99
1,13870,6919,76,14
1,13870,13868,76,14
1,13870,13798,75,15
1,13888,11102,59,4
1,13888,13886,59,4
1,13903,15287,103,15
1,13903,13901,103,15
1,13915,10164,87,2
1,13915,13912,87,2
1,13934,4968,86,82
1,13934,13931,86,82
1,13934,12785,84,85
1,13934,12786,84,85
1,13963,13961,172,221
1,13963,14821,172,221
1,13971,11379,88,105
1,13971,13966,88,105
1,13971,12945,84,112
1,13971,12947,84,112
1,13978,5743,106,21
1,13978,8887,106,21
1,13978,13974,106,21
1,13978,13202,106,20
1,13978,13204,106,20
1,1293,13290,46,62
1,13985,7027,40,14
1,13985,13982,40,14
1,13985,13243,36,21
1,13985,13245,36,21
1,13989,5442,80,29
1,13989,13988,80,29
1,13989,13357,80,28
1,13989,13358,80,28
1,1300,12760,97,137
1,1300,12761,97,137
1,1300,13450,95,126
1,1300,13452,95,126
1,13995,10023,117,187
1,13995,13992,117,187
1,13995,12689,116,183
1,13995,12690,116,183
1,14000,2419,57,96
1,14000,13997,57,96
1,14018,14016,73,68
1,14018,14836,73,68
1,14018,12796,70,65
1,14018,12797,70,65
1,14024,17524,71,103
1,14024,8885,71,103
1,14024,14021,71,103
1,14028,10591,122,220
1,14028,11256,122,220
1,14028,14026,122,220
1,1316,4942,43,164
1,1316,13003,43,164
1,1316,13005,43,164
1,1316,13753,43,161
1,1322,12829,107,208
1,1322,12830,107,208
1,14038,17114,121,166
1,14038,14036,121,166
1,14043,14338,44,8
1,14043,14040,44,8
1,14043,14170,41,4
1,14043,14172,41,4
1,14057,7010,165,0
1,14057,14055,165,0
1,14067,17399,100,189
1,14067,14066,100,189
1,14082,17353,117,49
1,14082,14079,117,49
1,14082,13650,114,51
1,14099,14098,193,136
1,14099,15466,193,136
1,14099,13375,191,135
1,14099,13376,191,135
1,14103,8831,217,136
1,14103,14102,217,136
1,14107,10785,116,206
1,14107,14105,116,206
1,1366,12746,62,212
1,1366,12747,62,212
1,1367,12772,86,17
1,1367,12773,86,17
1,14132,4978,204,131
1,14132,5349,204,131
1,14132,14129,204,131
1,14142,14141,120,94
1,14142,13552,112,98
1,14142,13554,112,98
1,1378,12782,65,18
1,1378,12783,65,18
1,1378,13878,65,17
1,1378,13881,65,17
1,14146,10439,75,181
1,14146,14145,75,181
1,14166,14163,187,137
1,14166,15266,187,137
1,14166,13378,188,134
1,14166,13379,188,134
1,14176,14173,41,1
1,14176,15163,41,1
1,14181,15239,110,184
1,14181,14179,110,184
1,14181,12831,107,185
1,14181,12832,107,185
1,14192,10524,111,18
1,14192,14190,111,18
1,14192,13893,111,18
1,14192,13895,111,18
1,1400,13897,109,16
1,1400,13900,109,16
1,14201,7112,217,72
1,14201,7200,217,72
1,14201,14198,217,72
1,14210,2366,137,166
1,14210,14209,137,166
1,14238,5331,205,128
1,14238,14235,205,128
1,14238,14122,206,129
1,14238,14124,206,129
1,14267,14266,161,55
1,14267,14928,161,55
1,1442,12766,99,162
1,1442,12767,99,162
1,1442,13548,97,158
1,14276,2803,119,199
1,14276,14273,119,199
1,14276,15525,119,199
1,14283,15182,186,203
1,14283,14282,186,203
1,14283,13942,184,205
1,14283,13945,184,205
1,14299,2802,106,78
1,14299,14295,106,78
1,14299,13645,100,72
1,14299,13647,100,72
1,14322,7068,126,85
1,14322,11268,126,85
1,14322,14320,126,85
1,14332,10704,112,193
1,14332,14329,112,193
1,14338,11290,51,12
1,14338,14336,51,12
1,14338,14040,44,8
1,14349,11284,117,201
1,14349,14348,117,201
1,14366,10413,208,190
1,14366,14364,208,190
1,14380,15384,180,107
1,14380,14378,180,107
1,14380,15034,169,107
1,14380,15028,169,107
1,14389,14779,106,214
1,14389,14386,106,214
1,14389,12827,105,213
1,14389,12828,105,213
1,14400,10337,100,105
1,14400,14397,100,105
1,14406,5846,98,70
1,14406,14404,98,70
1,14406,13924,93,71
1,14406,13929,93,71
1,1515,13739,107,160
1,14415,10559,82,39
1,14415,14412,82,39
1,14415,13498,81,36
1,14415,13500,81,36
1,14420,10685,78,156
1,14420,14418,78,156
1,14451,8929,184,145
1,14451,14450,184,145
1,14463,10681,97,18
1,14463,14462,97,18
1,14463,13906,97,18
1,14463,13909,97,18
1,2134,13596,88,29
1,2134,13597,88,29
1,2134,13354,88,27
1,2134,13356,88,27
1,14476,9836,188,103
1,14476,14473,188,103
1,14485,15069,99,33
1,14485,14483,99,33
1,14493,14492,55,93
1,14493,14694,55,93
1,14493,2419,56,93
1,14493,14489,56,93
1,14493,14492,56,93
1,14498,10493,144,106
1,14498,14495,144,106
1,14498,13815,144,107
1,14498,13818,144,107
1,14503,10825,95,28
1,14503,14501,95,28
1,14503,13352,90,28
1,14503,13354,90,28
1,14511,10162,205,25
1,14511,14507,205,25
1,2366,14209,137,166
1,2366,13631,136,166
1,2366,13632,136,166
1,14516,10636,129,219
1,14516,14513,129,219
1,14516,12963,127,217
1,14516,12965,127,217
1,14525,2676,186,154
1,14525,14519,186,154
1,14525,14439,183,145
1,14525,14444,183,145
1,14538,5738,98,137
1,14538,8971,98,137
1,14538,14535,98,137
1,14541,10838,100,193
1,14541,11198,100,193
1,14541,14539,100,193
1,2380,14373,182,108
1,2380,14378,182,108
1,14550,5842,173,135
1,14550,14547,173,135
1,14559,10155,151,220
1,14559,14556,151,220
1,14564,7061,80,123
1,14564,14561,80,123
1,14599,14596,152,78
1,14599,14679,152,78
1,14599,14260,161,65
1,14599,14263,161,65
1,2419,13997,57,96
1,2419,14489,56,93
1,2419,14492,56,93
1,14612,14610,206,112
1,2431,14579,172,81
1,2431,14583,172,81
1,2434,12683,57,9
1,2434,12684,57,9
1,14619,5345,117,203
1,14619,14617,117,203
1,14626,10372,166,167
1,14626,14623,166,167
1,14631,10609,105,141
1,14631,14628,105,141
1,14636,10296,134,156
1,14636,14633,134,156
1,14636,12857,128,155
1,14636,12858,128,155
1,14642,5327,65,83
1,14642,14639,65,83
1,14642,13581,61,80
1,14642,13582,61,80
1,14647,11246,153,202
1,14647,14645,153,202
1,14647,13617,151,201
1,14647,13618,151,201
1,2457,12874,82,180
1,2457,12875,82,180
1,2457,12754,82,178
1,14652,10065,105,65
1,14652,14651,105,65
1,14652,13648,100,66
1,14652,13650,100,66
1,14659,4994,129,212
1,14659,6859,129,212
1,14659,14657,129,212
1,14669,10026,131,209
1,14669,14667,131,209
1,14677,17448,101,139
1,14677,14674,101,139
1,14677,14529,98,138
1,14677,14532,98,138
1,14684,17088,129,86
1,14684,14679,129,86
1,14691,11333,128,164
1,14691,14688,128,164
1,14691,13093,122,166
1,14691,13095,122,166
1,14698,10443,52,90
1,14698,14697,52,90
1,14702,5947,80,109
1,14702,14700,80,109
1,14702,12953,78,110
1,14702,12954,78,110
1,14707,10124,90,67
1,14707,10367,90,67
1,14707,14704,90,67
1,14707,14004,87,73
1,14707,14007,87,73
1,2492,12979,214,91
1,2492,12982,214,91
1,14718,2766,84,65
1,14718,3078,84,65
1,14718,14716,84,65
1,14718,14713,84,65
1,14718,14716,84,65
1,14723,5126,35,38
1,14723,14721,35,38
1,14723,12894,35,38
1,14723,12895,35,38
1,14728,17491,141,219
1,14728,8876,141,219
1,14728,14725,141,219
1,14735,5316,189,16
1,14735,14733,189,16
1,14735,15203,187,15
1,14735,15205,187,15
1,14748,14745,162,220
1,14748,15303,162,220
1,14753,10972,80,116
1,14753,14750,80,116
1,14753,12951,79,111
1,14753,12953,79,111
1,14773,11169,164,21
1,14773,14770,164,21
1,14779,11323,106,214
1,14779,14776,106,214
1,14779,14386,106,214
1,14784,10344,139,210
1,14784,14781,139,210
1,14784,13620,140,208
1,14791,7064,67,107
1,14791,14789,67,107
1,14794,10202,169,170
1,14794,14793,169,170
1,14794,12923,169,170
1,14794,12926,169,170
1,14798,8014,116,28
1,14798,14797,116,28
1,14805,9839,49,75
1,14805,14803,49,75
1,14811,2959,163,168
1,14811,14808,163,168
1,14811,12930,161,169
1,14811,12932,161,169
1,14819,14817,129,160
1,14819,15454,129,160
1,14819,12855,129,160
1,14819,12856,129,160
1,14827,10405,166,213
1,14827,11293,166,213
1,14827,14825,166,213
1,14834,5910,134,105
1,14834,14832,134,105
1,14843,8969,70,69
1,14843,14841,70,69
1,14855,5217,192,134
1,14855,14851,192,134
1,14855,13376,191,135
1,14855,13377,191,135
1,14862,5850,181,10
1,14862,14857,181,10
1,14862,14050,169,6
1,14862,14052,169,6
1,14879,5899,171,134
1,14879,14877,171,134
1,2559,14455,92,19
1,2559,14457,92,19
1,2559,12771,87,16
1,2559,12772,87,16
1,14886,15428,130,143
1,14886,14881,130,143
1,14886,12859,125,141
1,14886,12860,125,141
1,14895,15380,160,155
1,14895,14892,160,155
1,14895,12942,155,159
1,2588,14743,164,219
1,2588,14745,164,219
1,14901,11381,79,73
1,14901,14900,79,73
1,2594,14478,105,28
1,2594,14480,105,28
1,2594,13350,90,28
1,2594,13352,90,28
1,14906,10352,191,101
1,14906,14904,191,101
1,14906,14470,189,100
1,14906,14473,189,100
1,14926,3065,152,193
1,14926,14923,152,193
1,14926,13616,151,196
1,14926,13617,151,196
1,14941,10011,157,42
1,14941,14939,157,42
1,14945,7129,92,21
1,14945,14944,92,21
1,14945,14454,92,21
1,14945,14455,92,21
1,14950,10725,119,166
1,14950,14947,119,166
1,14950,13102,115,164
1,14950,13103,115,164
1,14963,10997,217,136
1,14963,14962,217,136
1,14970,17425,60,194
1,14970,14969,60,194
1,14976,11187,33,15
1,14976,14975,33,15
1,14981,17452,172,170
1,14981,14979,172,170
1,14991,9905,158,138
1,14991,14989,158,138
1,15009,10775,202,114
1,15009,11190,202,114
1,15009,15007,202,114
1,15018,15016,171,153
1,15018,15412,171,153
1,15018,14432,173,150
1,15018,14436,173,150
1,15023,5385,43,24
1,15023,8906,43,24
1,15023,15020,43,24
1,15023,13012,42,24
1,15026,11144,118,198
1,15026,15024,118,198
1,2654,14593,155,80
1,2654,14596,155,80
1,15034,15028,169,107
1,15045,4838,220,132
1,15045,15042,220,132
1,15045,14957,218,135
1,15045,14959,218,135
1,15059,10995,149,18
1,15059,15057,149,18
1,2676,14519,186,154
1,2676,14430,183,155
1,2676,14432,183,155
1,15069,8985,98,34
1,15069,15065,98,34
1,15069,14483,99,33
1,15081,10765,197,58
1,15081,11115,197,58
1,15081,15078,197,58
1,15095,8925,119,83
1,15095,15094,119,83
1,15102,11192,154,208
1,15102,15099,154,208
1,15102,13618,151,202
1,15102,13619,151,202
1,2708,12834,95,179
1,2708,12835,95,179
1,2708,12840,94,178
1,2708,12841,94,178
1,15117,17217,196,135
1,15117,15115,196,135
1,15122,15177,210,220
1,15122,15119,210,220
1,15126,10419,76,17
1,15126,15124,76,17
1,15126,13796,75,16
1,15126,13798,75,16
1,15131,11227,118,20
1,15131,15129,118,20
1,15138,5358,202,130
1,15138,15136,202,130
1,15138,4939,201,130
1,15138,14084,201,130
1,15138,14087,201,130
1,15143,10186,94,134
1,15143,10188,94,134
1,15143,15141,94,134
1,15143,13277,93,133
1,15143,13279,93,133
1,15148,11001,119,130
1,15148,15145,119,130
1,15148,12862,119,127
1,15148,12863,119,127
1,15156,5083,203,131
1,15156,15153,203,131
1,15162,8942,164,166
1,15162,15161,164,166
1,15166,4839,38,1
1,15166,15163,38,1
1,15169,5115,202,113
1,15169,15168,202,113
1,15169,14999,202,113
1,15169,15002,202,113
1,2742,14187,112,18
1,2742,14190,112,18
1,2742,13895,111,17
1,2742,13897,111,17
1,15177,2925,210,217
1,15177,15173,210,217
1,15177,15119,210,220
1,15182,10689,190,208
1,15182,15180,190,208
1,15182,14282,186,203
1,2763,13947,180,210
1,2763,13951,180,210
1,2766,14007,84,72
1,2766,14009,84,72
1,2766,3078,84,65
1,2766,14716,84,65
1,15192,5013,199,78
1,15192,15189,199,78
1,15192,14574,193,80
1,15192,14576,193,80
1,15209,9824,190,9
1,15209,15207,190,9
1,15216,7134,59,16
1,15216,8991,59,16
1,15216,15214,59,16
1,15216,12684,56,15
1,2788,13708,121,22
1,2788,13709,121,22
1,2789,13872,66,18
1,2789,13876,66,18
1,2789,12781,66,18
1,2789,12782,66,18
1,15224,5112,178,22
1,15224,15223,178,22
1,2802,14295,106,78
1,2803,14273,119,199
1,2803,15525,119,199
1,15228,8899,73,169
1,15228,15226,73,169
1,15233,11262,49,9
1,15233,11283,49,9
1,15233,15232,49,9
1,15239,8424,110,185
1,15239,15238,110,185
1,15239,14179,110,184
1,2819,14213,220,110
1,2819,14216,220,110
1,2819,14219,218,111
1,2819,14220,218,111
1,15250,5250,150,30
1,15250,15248,150,30
1,15261,10669,81,55
1,15261,15258,81,55
1,15264,10273,159,78
1,15264,15263,159,78
1,15264,14591,156,80
1,15264,14593,156,80
1,2850,14316,127,85
1,2850,14318,127,85
1,2850,14138,122,91
1,2850,14141,122,91
1,15268,5404,184,134
1,15268,15266,184,134
1,15268,10461,184,133
1,15268,13586,184,133
1,15268,13587,184,133
1,15282,8845,193,111
1,15282,15280,193,111
1,15287,10574,102,11
1,15287,15284,102,11
1,15287,13901,103,15
1,15294,4786,172,16
1,15294,15292,172,16
1,15294,13624,171,13
1,15294,13625,171,13
1,15298,5323,55,36
1,15298,10584,55,36
1,15298,15296,55,36
1,15301,7114,136,165
1,15301,15300,136,165
1,15301,13629,136,165
1,15301,13630,136,165
1,15304,5735,161,219
1,15304,10964,161,219
1,15304,15303,161,219
1,15308,5210,134,183
1,15308,7018,134,183
1,15308,15307,134,183
1,15314,10046,36,12
1,15314,15312,36,12
1,15314,13543,36,13
1,15314,13544,36,13
1,15317,10700,121,144
1,15317,15315,121,144
1,15321,8897,90,79
1,15321,15319,90,79
1,15328,4841,81,181
1,15328,15326,81,181
1,15328,12876,81,181
1,15328,12877,81,181
1,15332,5634,54,184
1,15332,10790,54,184
1,15332,15330,54,184
1,2898,13780,86,199
1,2898,13783,86,199
1,2898,13072,83,200
1,2898,13074,83,200
1,15336,5869,60,54
1,15336,15334,60,54
1,15344,10630,200,129
1,15344,15342,200,129
1,15344,14087,199,129
1,15344,14089,199,129
1,15348,10447,56,185
1,15348,15346,56,185
1,15348,12809,56,184
1,15348,12810,56,184
1,15355,10092,145,185
1,15355,15353,145,185
1,15360,6783,96,123
1,15360,10470,96,123
1,15360,15358,96,123
1,15360,13443,97,120
1,15360,13445,97,120
1,15366,10919,177,202
1,15366,15365,177,202
1,15370,17479,173,171
1,15370,17526,173,171
1,15370,10474,173,171
1,15370,15368,173,171
1,2919,13473,141,180
1,2919,13475,141,180
1,2919,13477,140,180
1,15376,10849,93,209
1,15376,15374,93,209
1,2925,15173,210,217
1,2925,14355,209,213
1,2925,14358,209,213
1,2926,14444,183,145
1,2926,14447,183,145
1,15380,8886,163,155
1,15380,15378,163,155
1,15380,14892,160,155
1,15382,11371,88,37
1,15382,15381,88,37
1,15382,13599,86,36
1,15384,10526,185,102
1,15384,15383,185,102
1,15384,14378,180,107
1,15390,15072,202,75
1,15390,15389,202,75
1,2954,13958,173,220
1,2954,13961,173,220
1,2957,14256,175,63
1,2957,14259,175,63
1,2959,12928,165,170
1,2959,12930,165,170
1,2959,14808,163,168
1,2963,14845,195,129
1,2963,14848,195,129
1,15396,9950,42,67
1,15396,15394,42,67
1,15399,11028,46,152
1,15399,15397,46,152
1,15399,12678,46,151
1,15399,12679,46,151
1,15405,10549,194,112
1,15405,15401,194,112
1,15405,10985,195,111
1,15405,15275,195,111
1,15405,15278,195,111
1,2975,13956,177,213
1,2975,13958,177,213
1,15409,10865,165,134
1,15409,15407,165,134
1,15409,13417,167,127
1,15409,13420,167,127
1,15414,8937,170,153
1,15414,15412,170,153
1,15422,17465,219,117
1,15422,15420,219,117
1,2986,13030,139,183
1,2986,13031,139,183
1,2986,15305,135,184
1,2986,15307,135,184
1,15428,10842,132,147
1,15428,15426,132,147
1,15428,14881,130,143
1,2996,13329,68,205
1,2996,13332,68,205
1,15434,9853,214,189
1,15434,15433,214,189
1,15438,15436,156,2
1,15438,15535,156,2
1,3016,13482,53,184
1,15447,5767,116,189
1,15447,15445,116,189
1,15449,5864,136,165
1,15449,15448,136,165
1,15452,11250,163,36
1,15452,15450,163,36
1,15452,15241,160,36
1,15452,15244,160,36
1,15455,6988,128,161
1,15455,10076,128,161
1,15455,15454,128,161
1,15464,5800,104,12
1,15464,15462,104,12
1,3031,12763,100,147
1,3031,12764,100,147
1,15469,17544,192,138
1,15469,15466,192,138
1,15469,13374,191,135
1,15469,13375,191,135
1,15475,10460,196,205
1,15475,15472,196,205
1,15475,13088,193,202
1,15483,10103,178,14
1,15483,15481,178,14
1,15483,15290,174,17
1,15483,15292,174,17
1,15490,11385,167,102
1,15490,15488,167,102
1,15493,5893,69,185
1,15493,15491,69,185
1,15493,12740,69,185
1,15498,5561,107,6
1,15498,15496,107,6
1,15503,7146,166,85
1,15503,9949,166,85
1,15503,15501,166,85
1,15506,10846,160,188
1,15506,15505,160,188
1,15506,14914,159,191
1,15506,14920,159,191
1,15513,5014,200,134
1,15513,15510,200,134
1,3065,14923,152,193
1,3067,5376,217,136
1,3067,14100,217,136
1,3067,14102,217,136
1,15523,11109,179,170
1,15523,15520,179,170
1,3078,14716,84,65
1,15528,4774,119,199
1,15528,15525,119,199
1,15531,11351,187,62
1,15531,15529,187,62
1,15531,14576,183,75
1,15531,14579,183,75
1,15541,10228,151,4
1,15541,15538,151,4
1,3488,4975,114,175
1,3488,12852,114,175
1,3488,12853,114,175
1,3488,12692,113,176
1,3488,12693,113,176
1,15548,8535,120,35
1,15548,15546,120,35
1,15548,13603,122,33
1,15548,13604,122,33
1,3500,14955,217,135
1,3500,14957,217,135
1,3500,13676,214,132
1,3500,13678,214,132
1,3504,13469,145,179
1,3504,13473,145,179
1,15558,7001,191,149
1,15558,15555,191,149
1,15558,14153,189,145
1,15558,14155,189,145
1,15562,17260,210,130
1,15562,15560,210,130
1,15562,6892,207,129
1,3518,7186,65,30
1,3518,10436,65,30
1,3520,13493,90,47
1,3520,13495,90,47
1,3520,15256,89,49
1,3520,15258,89,49
1,3522,6857,77,167
1,3524,13367,46,184
1,3524,13369,46,184
1,3525,13570,60,212
1,3525,13569,60,212
1,3525,13570,60,212
1,4728,6885,196,154
1,4732,13643,90,79
1,4732,13644,90,79
1,4732,5755,90,79
1,4765,5676,186,43
1,4766,12786,79,85
1,4766,12787,79,85
1,4766,5457,79,84
1,4768,12847,125,177
1,4768,12848,125,177
1,4768,8980,125,175
1,4770,14012,73,68
1,4770,14016,73,68
1,4770,10498,73,69
1,4772,15107,197,134
1,4772,15109,197,134
1,4772,5296,197,135
1,4774,15525,119,199
1,4779,11133,132,89
1,4781,12849,124,177
1,4781,12850,124,177
1,4781,12850,123,177
1,4781,12851,123,177
1,4784,10744,151,160
1,4786,15292,172,16
1,4786,11183,170,17
1,4789,13695,80,7
1,4789,13698,80,7
1,4799,14542,177,135
1,4799,14545,177,135
1,4803,11234,215,110
1,4804,12803,64,217
1,4804,12804,64,217
