Frame,Contour ID,Length
1,15396,0.187
1,15399,0.551
1,15405,0.861
1,2975,5.585
1,15409,7.703
1,15414,1.045
1,15422,0.111
1,2986,4.229
1,15428,4.781
1,2996,6.689
1,15434,0.108
1,15438,3.924
1,3016,0.216
1,15447,0.354
1,15449,0.113
1,15452,3.122
1,15455,0.195
1,15464,0.455
1,3031,4.196
1,15469,3.069
1,15475,4.052
1,15483,4.919
1,15490,0.207
1,15493,0.210
1,15498,3.289
1,15503,0.199
1,15506,3.872
1,15513,0.518
1,3065,4.676
1,3067,0.254
1,15523,0.220
1,3078,6.183
1,15528,0.189
1,15531,13.455
1,15541,0.108
1,3488,1.394
1,15548,1.970
1,3500,4.494
1,3504,2.639
1,15558,3.953
1,15562,3.347
1,3518,0.244
1,3520,3.077
1,3522,0.117
1,3524,0.217
1,3525,0.183
1,4728,19.148
1,4732,0.208
1,4765,7.344
1,4766,0.932
1,4768,1.853
1,4770,0.953
1,4772,0.130
1,4774,0.251
1,4779,0.226
1,4781,1.801
1,4784,0.096
1,4786,1.976
1,4789,5.233
1,4799,5.529
1,4803,0.207
1,4804,0.076
1,4807,2.360
1,4808,0.107
1,4809,0.251
1,4810,1.630
1,4811,0.587
1,4825,10.254
1,4832,9.059
1,4836,5.705
1,4838,0.938
1,4839,0.521
1,4841,0.269
1,4845,0.169
1,4847,0.807
1,4852,0.267
1,4855,1.087
1,4858,0.189
1,4863,2.463
1,4874,9.944
1,4877,3.777
1,4878,1.168
1,4880,0.655
1,4881,1.062
1,4884,2.501
1,4885,0.250
1,4888,2.494
1,4904,2.813
1,4906,0.108
1,4909,1.224
1,4911,0.135
1,4915,1.916
1,4918,3.547
1,4922,5.212
1,4923,0.614
1,4927,4.569
1,4939,3.067
1,4941,0.216
1,4942,0.073
1,4953,4.385
1,4956,0.110
1,4959,0.099
1,4964,0.235
1,4968,0.778
1,4969,0.459
1,4972,1.613
1,4975,0.160
1,4977,0.315
1,4978,0.347
1,4979,0.537
1,4984,2.939
1,4986,0.951
1,4989,0.869
1,4991,0.231
1,4992,0.203
1,4993,0.798
1,4994,0.190
1,5010,14.383
1,5013,4.155
1,5014,0.967
1,5027,15.058
1,5028,0.172
1,5029,0.440
1,5030,2.216
1,5040,1.785
1,5042,0.121
1,5043,1.537
1,5053,6.343
1,5057,0.108
1,5058,0.210
1,5063,0.154
1,5065,0.795
1,5066,0.550
1,5068,1.220
1,5069,1.075
1,5070,0.137
1,5074,6.296
1,5079,2.088
1,5083,3.037
1,5088,0.316
1,5092,0.258
1,5099,0.108
1,5101,0.205
1,5103,0.167
1,5106,0.263
1,5108,0.993
1,5112,1.925
1,5115,2.151
1,5120,1.753
1,5122,0.147
1,5124,0.291
1,5126,0.234
1,5128,0.242
1,5134,2.981
1,5136,1.412
1,5137,0.551
1,5142,4.911
1,5144,0.164
1,5154,0.530
1,5157,0.281
1,5174,11.632
1,5177,1.132
1,5178,0.768
1,5206,0.219
1,5208,0.461
1,5210,0.091
1,5217,0.786
1,5218,0.107
1,5223,1.525
1,5224,0.448
1,5250,0.713
1,5251,0.111
1,5252,0.334
1,5253,0.118
1,5265,0.282
1,5283,9.754
1,5290,0.123
1,5291,0.829
1,5293,0.718
1,5295,0.227
1,5296,0.109
1,5314,12.903
1,5316,0.173
1,5318,0.128
1,5319,1.576
1,5321,0.193
1,5323,0.173
1,5327,0.984
1,5329,1.755
1,5331,1.010
1,5333,0.108
1,5344,1.886
1,5345,0.146
1,5347,0.307
1,5349,0.117
1,5354,1.977
1,5356,0.439
1,5358,0.774
1,5360,0.297
1,5364,4.155
1,5368,5.338
1,5370,0.164
1,5371,0.255
1,5373,0.116
1,5376,0.228
1,5378,0.240
1,5380,0.443
1,5383,0.135
1,5385,0.137
1,5388,0.106
1,5399,4.139
1,5404,2.772
1,5441,8.140
1,5442,0.347
1,5444,0.261
1,5447,0.634
1,5449,0.223
1,5456,1.464
1,5457,0.112
1,5462,1.218
1,5466,0.433
1,5470,0.101
1,5492,9.961
1,5496,0.402
1,5500,0.093
1,5505,0.782
1,5508,0.509
1,5512,1.597
1,5513,0.105
1,5514,0.488
1,5516,0.283
1,5520,6.330
1,5534,9.577
1,5536,0.980
1,5543,0.572
1,5548,1.058
1,5549,2.091
1,5561,6.511
1,5562,0.069
1,5571,0.161
1,5577,0.754
1,5589,4.786
1,5591,0.398
1,5593,0.340
1,5595,0.164
1,5596,0.350
1,5597,0.345
1,5598,0.584
1,5602,2.232
1,5603,0.457
1,5604,0.704
1,5606,0.222
1,5607,0.425
1,5610,0.379
1,5623,2.538
1,5624,0.320
1,5631,7.211
1,5633,0.273
1,5634,0.070
1,5637,1.054
1,5640,0.180
1,5651,6.271
1,5653,0.918
1,5656,0.562
1,5658,0.194
1,5660,0.504
1,5662,0.374
1,5663,0.321
1,5665,0.502
1,5669,0.437
1,5676,6.536
1,5700,12.962
1,5703,1.258
1,5731,9.978
1,5733,0.291
1,5735,0.183
1,5738,0.450
1,5740,0.241
1,5743,0.312
1,5747,1.200
1,5749,0.143
1,5753,0.333
1,5755,0.383
1,5767,3.788
1,5768,0.328
1,5769,0.143
1,5770,0.177
1,5778,5.894
1,5780,1.004
1,5784,0.815
1,5794,6.071
1,5798,1.102
1,5800,0.392
1,5802,0.470
1,5806,0.547
1,5817,3.940
1,5836,9.242
1,5840,0.548
1,5842,1.038
1,5845,0.258
1,5846,0.226
1,5850,1.119
1,5855,1.311
1,5858,0.243
1,5859,0.349
1,5863,0.208
1,5864,0.348
1,5866,0.385
1,5869,0.215
1,5872,0.456
1,5875,0.232
1,5879,0.416
1,5881,0.339
1,5883,2.143
1,5884,0.196
